CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
101914122,KATY ISD,ODESSA KILPATRI,5,INDEPENDENT,26100 CINCO RANCH BLVD,KATY,77494,5.0,168.0,155.0,134.0
101914123,KATY ISD,ROBERTA WRIGHT,5,INDEPENDENT,24831 WESTHEIMER PKWY,KATY,77494,14.0,190.0,150.0,106.0
101914124,KATY ISD,JOELLA EXLEY EL,5,INDEPENDENT,21800 WESTHEIMER PKWY,KATY,77494,11.0,145.0,118.0,92.0
101914125,KATY ISD,JACK AND SHARON,5,INDEPENDENT,19711 CLAY RD,KATY,77449,16.0,158.0,118.0,82.0
101914126,KATY ISD,FRANZ ELEM.,5,INDEPENDENT,2751 N WESTGREEN BLVD,KATY,77449,13.0,147.0,96.0,58.0
101914127,KATY ISD,GRIFFIN ELEM.,5,INDEPENDENT,7800 S FRY RD,KATY,77494,2.0,154.0,130.0,104.0
101914128,KATY ISD,URSULA STEPHENS,5,INDEPENDENT,2715 FRY RD,KATY,77494,16.0,98.0,64.0,40.0
101914129,KATY ISD,WOODCREEK ELEM.,5,INDEPENDENT,1155 WOODCREEK BEND LN,KATY,77494,3.0,204.0,177.0,144.0
101914130,KATY ISD,MORTON RANCH EL,5,INDEPENDENT,2502 MASON RD,KATY,77449,16.0,112.0,67.0,35.0
101914131,KATY ISD,BONNIE HOLLAND,5,INDEPENDENT,23720 SEVEN MEADOW PKWY,KATY,77449,11.0,214.0,179.0,136.0
101914132,KATY ISD,STANLEY C. STAN,5,INDEPENDENT,26633 CINCO TERRACE DR,KATY,77494,0.0,159.0,148.0,126.0
101914133,KATY ISD,TOM WILSON ELEM,5,INDEPENDENT,5200 FALCON LANDING BLVD,KATY,77494-0159,5.0,183.0,166.0,133.0
101914134,KATY ISD,RAY AND JAMIE W,5,INDEPENDENT,28727 N FIRETHORNE RD,KATY,77494-0159,0.0,142.0,130.0,109.0
101914137,KATY ISD,FRED AND PATTI,5,INDEPENDENT,5150 RANCH POINT DR,KATY,77494-0159,3.0,183.0,165.0,135.0
101914138,KATY ISD,KEIKO DAVIDSON,5,INDEPENDENT,26906 PINE MILL RANCH DR,KATY,77494,11.0,188.0,151.0,122.0
101914139,KATY ISD,JAMES E. RANDOL,5,INDEPENDENT,5303 FLEWELLEN OAKS LN,FULSHEAR,77441,4.0,191.0,176.0,138.0
101914140,KATY ISD,JENKS ELEM.,5,INDEPENDENT,27602 WESTRIDGE CREEK LN,KATY,77494,4.0,171.0,146.0,113.0
101914141,KATY ISD,BETHKE ELEM.,5,INDEPENDENT,4535 E VENTANA PKWY,KATY,77493,19.0,195.0,127.0,74.0
101914142,KATY ISD,BRYANT ELEM.,5,INDEPENDENT,29801 KINGSLAND BLVD,BROOKSHIRE,77423,7.0,135.0,103.0,69.0
101914143,KATY ISD,CAMPBELL ELEM.,5,INDEPENDENT,3701 CROSS CREEK BEND LN,KATY,77441,5.0,90.0,75.0,59.0
101915101,KLEIN ISD,KOHRVILLE ELEM.,5,INDEPENDENT,11600 WOODLAND SHORE DR,TOMBALL,77375,11.0,108.0,68.0,40.0
101915102,KLEIN ISD,NORTHAMPTON ELE,5,INDEPENDENT,6404 ROOT RD,SPRING,77389-3660,13.0,85.0,57.0,30.0
101915103,KLEIN ISD,HAUDE ELEM.,5,INDEPENDENT,3111 LOUETTA,SPRING,77388-4610,9.0,107.0,84.0,57.0
101915104,KLEIN ISD,GREENWOOD FORES,5,INDEPENDENT,12100 MISTY VLY,HOUSTON,77066-2436,32.0,98.0,45.0,29.0
101915105,KLEIN ISD,EPPS ISLAND ELE,5,INDEPENDENT,7403 SMILING WOOD LN,HOUSTON,77086-3112,11.0,94.0,60.0,35.0
101915106,KLEIN ISD,THEISS ELEM.,5,INDEPENDENT,17510 THEISS MAIL RD,KLEIN,77379-4615,6.0,119.0,108.0,97.0
101915107,KLEIN ISD,BENFER ELEM.,5,INDEPENDENT,18027B KUYKENDAHL RD,KLEIN,77379-8116,18.0,123.0,79.0,52.0
101915108,KLEIN ISD,KAISER ELEM.,5,INDEPENDENT,13430 BAMMEL-N HOUSTON RD,HOUSTON,77066-2924,23.0,101.0,53.0,23.0
101915109,KLEIN ISD,BRILL ELEM.,5,INDEPENDENT,9102 HERTS RD,KLEIN,77379-6727,0.0,101.0,87.0,58.0
101915110,KLEIN ISD,EHRHARDT ELEM.,5,INDEPENDENT,6603 ROSEBROOK LN,KLEIN,77379-4159,13.0,92.0,63.0,41.0
101915111,KLEIN ISD,LEMM ELEM.,5,INDEPENDENT,19034 JOANLEIGH DR,SPRING,77388-5255,25.0,97.0,59.0,37.0
101915112,KLEIN ISD,NITSCH ELEM.,5,INDEPENDENT,4702 W MOUNT HOUSTON,HOUSTON,77088-3053,36.0,84.0,43.0,20.0
101915113,KLEIN ISD,KRAHN ELEM.,5,INDEPENDENT,9502 EDAY,KLEIN,77379-4315,9.0,124.0,106.0,79.0
101915114,KLEIN ISD,ROTH ELEM.,5,INDEPENDENT,21623 CASTLEMONT,SPRING,77388-3860,17.0,93.0,68.0,48.0
101915115,KLEIN ISD,KUEHNLE ELEM.,5,INDEPENDENT,5510 WINDING RDG DR,KLEIN,77379-8841,5.0,144.0,109.0,75.0
101915116,KLEIN ISD,MITTELSTADT ELE,5,INDEPENDENT,7525 KLEINGREEN LN,KLEIN,77379-7297,23.0,121.0,81.0,51.0
101915117,KLEIN ISD,KLENK ELEM.,5,INDEPENDENT,6111 BOURGEOIS RD,HOUSTON,77066-3903,35.0,130.0,87.0,55.0
101915118,KLEIN ISD,EILAND ELEM.,5,INDEPENDENT,6700 N KLEIN CIR DR,HOUSTON,77088-1500,9.0,80.0,59.0,43.0
101915119,KLEIN ISD,SCHULTZ ELEM.,5,INDEPENDENT,7920 WILLOW FOREST,TOMBALL,77375-2822,23.0,78.0,53.0,34.0
101915120,KLEIN ISD,HASSLER ELEM.,5,INDEPENDENT,9325 LOCHLEA RDG DR,KLEIN,77379,4.0,158.0,131.0,94.0
101915121,KLEIN ISD,KREINHOP ELEM.,5,INDEPENDENT,21010 ELLA BLVD,SPRING,77388,9.0,150.0,102.0,68.0
101915122,KLEIN ISD,MCDOUGLE ELEM.,5,INDEPENDENT,10410 KANSACK LN,HOUSTON,77086,13.0,100.0,70.0,46.0
101915123,KLEIN ISD,METZLER ELEM.,5,INDEPENDENT,8500 W RAYFORD RD,SPRING,77389,5.0,126.0,102.0,75.0
101915124,KLEIN ISD,BENIGNUS ELEM.,5,INDEPENDENT,7225 ALVIN A KLEIN DR,KLEIN,77379,4.0,104.0,91.0,74.0
101915125,KLEIN ISD,FRANK ELEM.,5,INDEPENDENT,9225 CRESCENT CLOVER DR,KLEIN,77379,5.0,98.0,76.0,60.0
101915126,KLEIN ISD,MUELLER ELEM.,5,INDEPENDENT,7074 FM 2920,KLEIN,77379,15.0,136.0,103.0,69.0
101915127,KLEIN ISD,BLACKSHEAR ELEM,5,INDEPENDENT,11211 LACEY RD,TOMBALL,77375,22.0,150.0,106.0,54.0
101915128,KLEIN ISD,ZWINK ELEM.,5,INDEPENDENT,22200 FRASSATI WAY,SPRING,77389,11.0,175.0,130.0,79.0
101915129,KLEIN ISD,BERNSHAUSEN ELE,5,INDEPENDENT,11116 MAHAFFEY,TOMBALL,77375,31.0,132.0,83.0,48.0
101915131,KLEIN ISD,FRENCH ELEM.,5,INDEPENDENT,5802 W RAYFORD RD,SPRING,77389,2.0,143.0,121.0,94.0
101915132,KLEIN ISD,MAHAFFEY ELEM.,5,INDEPENDENT,10255 MAHAFFEY RD,TOMBALL,77375,10.0,120.0,91.0,66.0
101916101,LA PORTE ISD,JENNIE REID ELE,5,INDEPENDENT,10001 W FAIRMONT PKWY,LA PORTE,77571-6496,5.0,75.0,52.0,33.0
101916102,LA PORTE ISD,HERITAGE ELEM.,5,INDEPENDENT,4301 E BLVD,DEER PARK,77536,5.0,64.0,45.0,29.0
101916103,LA PORTE ISD,LA PORTE ELEM.,5,INDEPENDENT,725 S BROADWAY,LA PORTE,77571-6496,3.0,83.0,65.0,37.0
101916104,LA PORTE ISD,BAYSHORE ELEM.,5,INDEPENDENT,800 MCCABLE RD,LA PORTE,77571-6496,2.0,68.0,45.0,28.0
101916105,LA PORTE ISD,COLLEGE PARK EL,5,INDEPENDENT,4315 LUELLA,DEER PARK,77536-6464,8.0,64.0,40.0,27.0
101916106,LA PORTE ISD,LOMAX ELEM.,5,INDEPENDENT,10615 N AVNEUE L,LA PORTE,77571-6496,5.0,63.0,51.0,24.0
101916107,LA PORTE ISD,LEO A. RIZZUTO,5,INDEPENDENT,3201 N FARRINGTON BLVD,LA PORTE,77571-6496,2.0,124.0,110.0,82.0
101917135,PASADENA ISD,MORRIS M.S.,5,INDEPENDENT,10415 FUQUA,HOUSTON,77089,37.0,360.0,250.0,144.0
101917136,PASADENA ISD,DE ZAVALA M.S.,5,INDEPENDENT,101 E JACKSON,PASADENA,77506,101.0,252.0,122.0,64.0
101917139,PASADENA ISD,CARTER LOMAX M.,5,INDEPENDENT,1519 GENOA RED BLUFF RD,PASADENA,77504,45.0,283.0,201.0,117.0
101917140,PASADENA ISD,MELILLO M.S.,5,INDEPENDENT,9220 HUGHES RD,HOUSTON,77089,46.0,295.0,208.0,118.0
101917141,PASADENA ISD,EARNESTEEN MILS,5,INDEPENDENT,338 GILPIN,HOUSTON,77034,85.0,315.0,188.0,100.0
101917142,PASADENA ISD,RICK SCHNEIDER,5,INDEPENDENT,8420 EASTHAVEN,HOUSTON,77075,128.0,238.0,101.0,49.0
101917143,PASADENA ISD,BOBBY SHAW M.S.,5,INDEPENDENT,1201 HOUSTON AVE,PASADENA,77502,88.0,260.0,119.0,53.0
101917144,PASADENA ISD,KELLER M.S.,5,INDEPENDENT,3102 SAN AUGUSTINE,PASADENA,77503,53.0,293.0,169.0,94.0
101917145,PASADENA ISD,MARSHALL KENDRI,5,INDEPENDENT,3001WATTERS RD,PASADENA,77504,123.0,258.0,123.0,55.0
101917146,PASADENA ISD,NELDA SULLIVAN,5,INDEPENDENT,1112 QUEENS RD,PASADENA,77075,80.0,202.0,108.0,51.0
101917147,PASADENA ISD,FRED ROBERTS M.,5,INDEPENDENT,13402CONKLIN LN,HOUSTON,77503,36.0,271.0,158.0,81.0
101919102,SPRING ISD,BAMMEL ELEM.,5,INDEPENDENT,17309 RED OAK DR,HOUSTON,77090-1243,50.0,64.0,31.0,20.0
101919103,SPRING ISD,PONDEROSA ELEM.,5,INDEPENDENT,17202 BUTTE CREEK RD,HOUSTON,77090-2322,26.0,73.0,45.0,26.0
101919104,SPRING ISD,JOHN WINSHIP EL,5,INDEPENDENT,2175 SPRING CREEK DR,SPRING,77373-6141,15.0,80.0,45.0,20.0
101919105,SPRING ISD,PAT REYNOLDS EL,5,INDEPENDENT,3975 GLADERIDGE DR,HOUSTON,77068-2422,33.0,90.0,52.0,27.0
101919106,SPRING ISD,MEYER ELEM.,5,INDEPENDENT,16330 FOREST WAY DR,HOUSTON,77090-4717,32.0,78.0,42.0,20.0
101919107,SPRING ISD,MILDRED JENKINS,5,INDEPENDENT,4615 REYNALDO DR,SPRING,77373-6861,43.0,66.0,31.0,9.0
101919108,SPRING ISD,PEARL M. HIRSCH,5,INDEPENDENT,2633 TRAILING VINE RD,SPRING,77373-7716,41.0,65.0,28.0,13.0
101919109,SPRING ISD,ANDERSON ELEM.,5,INDEPENDENT,6218 LYNNGATE DR,SPRING,77373-7356,29.0,74.0,41.0,20.0
101919110,SPRING ISD,JOAN LINK ELEM.,5,INDEPENDENT,2815 RIDGE HOLLOW DR,HOUSTON,77067-1939,8.0,94.0,72.0,34.0
101919111,SPRING ISD,SMITH ELEM.,5,INDEPENDENT,26000 CYPRESSWOOD DR,SPRING,77373-5860,23.0,81.0,52.0,32.0
101919112,SPRING ISD,BENEKE ELEM.,5,INDEPENDENT,3840 BRIARCHASE DR,HOUSTON,77014-2755,12.0,102.0,68.0,45.0
101919114,SPRING ISD,DELORAS E. THOM,5,INDEPENDENT,12470 WALTERS RD,HOUSTON,77014-2422,27.0,82.0,48.0,29.0
101919115,SPRING ISD,HERITAGE ELEM.,5,INDEPENDENT,12255 T C JESTER BLVD,HOUSTON,77067-1381,21.0,67.0,42.0,21.0
101919116,SPRING ISD,CLARK INTERMEDI,5,INDEPENDENT,1825 RUSHWORTH DR,HOUSTON,77014,62.0,115.0,70.0,32.0
101919117,SPRING ISD,SALYERS ELEM.,5,INDEPENDENT,25705 HARDY ST,SPRING,77373,41.0,39.0,16.0,6.0
101919119,SPRING ISD,CHET BURCHETT E,5,INDEPENDENT,3366 JAMES LEO DR,SPRING,77373,22.0,108.0,74.0,49.0
101919120,SPRING ISD,MILTON COOPER E,5,INDEPENDENT,18665 IMPERIAL VLY  DR,HOUSTON,77073,10.0,111.0,71.0,37.0
101919121,SPRING ISD,GINGER MCNABB E,5,INDEPENDENT,743 E CYPRESSWOOD DR,SPRING,77373,13.0,76.0,55.0,39.0
101919122,SPRING ISD,NORTHGATE ELEM.,5,INDEPENDENT,23437 NORTHGATE CROSSING BLVD,HOUSTON,77373,10.0,122.0,91.0,62.0
101919123,SPRING ISD,DONNA LEWIS ELE,5,INDEPENDENT,3230 SPEARS RD,HOUSTON,77067,29.0,66.0,35.0,20.0
101919124,SPRING ISD,CAROLEE BOOKER,5,INDEPENDENT,22352 IMPERIAL VLY,HOUSTON,77373-1101,33.0,113.0,68.0,42.0
101919125,SPRING ISD,HOYLAND ELEM.,5,INDEPENDENT,2200 WITTERSHAW DR,HOUSTON,77090,63.0,51.0,23.0,13.0
101919126,SPRING ISD,RALPH EICKENROH,5,INDEPENDENT,15252 GRAND POINT DR,HOUSTON,77090,34.0,57.0,25.0,10.0
101919127,SPRING ISD,HELEN MAJOR ELE,5,INDEPENDENT,16855 SUGAR PINE DR,HOUSTON,77090,33.0,68.0,27.0,14.0
101919128,SPRING ISD,GLORIA MARSHALL,5,INDEPENDENT,24505 BIRNAMWOOD DR,SPRING,77373,27.0,83.0,52.0,31.0
101920018,SPRING BRANCH I,SPRING BRANCH A,5,INDEPENDENT,14400 FERN,HOUSTON,77079,0.0,10.0,9.0,9.0
101920041,SPRING BRANCH I,LANDRUM M.S.,5,INDEPENDENT,2200 RIDGECREST,HOUSTON,77055-1298,42.0,65.0,37.0,20.0
101920102,SPRING BRANCH I,BUNKER HILL ELE,5,INDEPENDENT,11950 TAYLORCREST,HOUSTON,77024-4399,5.0,125.0,104.0,81.0
101920103,SPRING BRANCH I,EDGEWOOD ELEM.,5,INDEPENDENT,8757 KEMPWOOD DR,HOUSTON,77080,20.0,64.0,41.0,26.0
101920104,SPRING BRANCH I,FROSTWOOD ELEM.,5,INDEPENDENT,12214 MEMORIAL DR,HOUSTON,77024,1.0,135.0,131.0,108.0
101920105,SPRING BRANCH I,HOLLIBROOK ELEM,5,INDEPENDENT,3602 HOLLISTER,HOUSTON,77080-1845,27.0,86.0,54.0,30.0
101920106,SPRING BRANCH I,HOUSMAN ELEM.,5,INDEPENDENT,6705 HOUSMAN ST,HOUSTON,77055-2298,25.0,43.0,18.0,7.0
101920107,SPRING BRANCH I,HUNTERS CREEK E,5,INDEPENDENT,10650 BEINHORN,HOUSTON,77024-3199,3.0,117.0,107.0,88.0
101920108,SPRING BRANCH I,MEADOW WOOD ELE,5,INDEPENDENT,14230 MEMORIAL DR,HOUSTON,77079,23.0,62.0,34.0,22.0
101920109,SPRING BRANCH I,MEMORIAL DRIVE,5,INDEPENDENT,11202 SMITHDALE,HOUSTON,77024-6799,4.0,78.0,74.0,56.0
101920110,SPRING BRANCH I,PINE SHADOWS EL,5,INDEPENDENT,9900 NEUENS,HOUSTON,77080,38.0,71.0,42.0,21.0
101920111,SPRING BRANCH I,RIDGECREST ELEM,5,INDEPENDENT,2015 RIDGECREST,HOUSTON,77055-1299,7.0,103.0,78.0,50.0
101920112,SPRING BRANCH I,RUMMEL CREEK EL,5,INDEPENDENT,625 BRITTMOORE,HOUSTON,77079-6121,1.0,94.0,94.0,87.0
101920113,SPRING BRANCH I,SHADOW OAKS ELE,5,INDEPENDENT,1335 SHADOWDALE,HOUSTON,77043-4298,43.0,65.0,27.0,13.0
101920114,SPRING BRANCH I,SPRING BRANCH E,5,INDEPENDENT,1700 CAMPBELL RD,HOUSTON,77080-7404,45.0,43.0,15.0,7.0
101920115,SPRING BRANCH I,VALLEY OAKS ELE,5,INDEPENDENT,8390 WESTVIEW DR,HOUSTON,77055,8.0,109.0,95.0,76.0
101920116,SPRING BRANCH I,WESTWOOD ELEM.,5,INDEPENDENT,10595 HAMMERLY,HOUSTON,77043-2698,41.0,47.0,22.0,11.0
101920117,SPRING BRANCH I,WOODVIEW ELEM.,5,INDEPENDENT,9749 CEDARDALE,HOUSTON,77055-6133,35.0,54.0,27.0,13.0
101920118,SPRING BRANCH I,WILCHESTER ELEM,5,INDEPENDENT,13618 ST MARYS LN,HOUSTON,77079-3440,2.0,141.0,128.0,113.0
101920119,SPRING BRANCH I,SHERWOOD ELEM.,5,INDEPENDENT,1700 SHERWOOD FOREST,HOUSTON,77043-3504,19.0,54.0,33.0,19.0
101920120,SPRING BRANCH I,SPRING SHADOW E,5,INDEPENDENT,9725 KEMPWOOD DR,HOUSTON,77080-3999,33.0,58.0,30.0,9.0
101920121,SPRING BRANCH I,NOTTINGHAM ELEM,5,INDEPENDENT,570 NOTTINGHAM OAKS TRAIL,HOUSTON,77079-6399,11.0,62.0,48.0,37.0
101920122,SPRING BRANCH I,TERRACE ELEM.,5,INDEPENDENT,10400 ROTHBURY,HOUSTON,77043-1899,14.0,36.0,23.0,10.0
101920123,SPRING BRANCH I,THORNWOOD ELEM.,5,INDEPENDENT,14400 FERN,HOUSTON,77079-5599,26.0,39.0,21.0,11.0
101920124,SPRING BRANCH I,CEDAR BROOK ELE,5,INDEPENDENT,2121 OJEMAN RD,HOUSTON,77080-6205,24.0,65.0,34.0,19.0
101920125,SPRING BRANCH I,TREASURE FOREST,5,INDEPENDENT,7635 AMELIA RD,HOUSTON,77055-1737,36.0,41.0,14.0,5.0
101920126,SPRING BRANCH I,BUFFALO CREEK E,5,INDEPENDENT,2801 BLALOCK RD,HOUSTON,77080-2822,23.0,67.0,38.0,26.0
101921105,TOMBALL ISD,TOMBALL INTERME,5,INDEPENDENT,723 W MAIN ST,TOMBALL,77375-5579,37.0,321.0,248.0,181.0
101921109,TOMBALL ISD,NORTHPOINTE INT,5,INDEPENDENT,11855 NORTHPOINTE BLVD,TOMBALL,77377,24.0,360.0,301.0,222.0
101921112,TOMBALL ISD,CREEKSIDE FORES,5,INDEPENDENT,5949 CREEKSIDE FOREST DR,THE WOODLANDS,77389,1.0,94.0,93.0,85.0
101921113,TOMBALL ISD,TIMBER CREEK EL,5,INDEPENDENT,8455 CREEKSIDE GREEN DR,THE WOODLANDS,77389,0.0,94.0,83.0,61.0
101921115,TOMBALL ISD,CREEKVIEW ELEM.,5,INDEPENDENT,8877 W NEW HARMONY,THE WOODLANDS,77375,3.0,100.0,88.0,68.0
101921116,TOMBALL ISD,OAKCREST INTERM,5,INDEPENDENT,18202 SHAW RD,CYPRESS,77429,22.0,328.0,238.0,173.0
101924102,SHELDON ISD,ROYALWOOD ELEM.,5,INDEPENDENT,7715 ROYALWOOD DR,HOUSTON,77049-2314,21.0,105.0,66.0,42.0
101924104,SHELDON ISD,L.E. MONAHAN EL,5,INDEPENDENT,8901 DEEP VALLEY DR,HOUSTON,77044-1528,23.0,85.0,45.0,29.0
101924108,SHELDON ISD,SHELDON ELEM.,5,INDEPENDENT,17203 HALL SHEPPARD,HOUSTON,77049-2002,24.0,121.0,71.0,39.0
101924109,SHELDON ISD,H.M. CARROLL EL,5,INDEPENDENT,10210 C E KING PKWY,HOUSTON,77044,46.0,149.0,90.0,59.0
101924111,SHELDON ISD,GARRETT ELEM.,5,INDEPENDENT,12017 GARRETT RD,HOUSTON,77044,64.0,79.0,36.0,9.0
101925103,HUFFMAN ISD,HUFFMAN ELEM.,5,INDEPENDENT,24403 E LAKE HOUSTON PKWY,HUFFMAN,77336,23.0,112.0,83.0,51.0
101925104,HUFFMAN ISD,FALCON RIDGE EL,5,INDEPENDENT,26503 FM 2100,HUFFMAN,77336-2390,22.0,93.0,59.0,29.0
102901103,KARNACK ISD,GEORGE WASHINGT,5,INDEPENDENT,655 FASON ST,KARNACK,75661-9713,6.0,8.0,5.0,3.0
102902103,MARSHALL ISD,CROCKETT ELEM.,5,INDEPENDENT,700 JASPER,MARSHALL,75672-2699,34.0,95.0,47.0,20.0
102902107,MARSHALL ISD,SAM HOUSTON ELE,5,INDEPENDENT,2905 E TRAVIS,MARSHALL,75672-4501,2.0,82.0,64.0,43.0
102902108,MARSHALL ISD,WILLIAM B. TRAV,5,INDEPENDENT,300 W CAROLANNE,MARSHALL,75672-7599,25.0,76.0,40.0,19.0
102902116,MARSHALL ISD,PRICE T. YOUNG,5,INDEPENDENT,1501 SANFORD,MARSHALL,75672,45.0,57.0,28.0,16.0
102903103,WASKOM ISD,WASKOM ELEM.,5,INDEPENDENT,301 SCHOOL AVE,WASKOM,75692-0748,8.0,49.0,26.0,14.0
102904010,HALLSVILLE ISD,TEXAS VIRTUAL A,5,INDEPENDENT,311 WILLOW ST,HALLSVILLE,75650-0810,198.0,96.0,25.0,9.0
102904104,HALLSVILLE ISD,HALLSVILLE INTE,5,INDEPENDENT,101 WALDRON FERRY RD,HALLSVILLE,75650-0810,15.0,355.0,260.0,181.0
102905101,HARLETON ISD,HARLETON ELEM.,5,INDEPENDENT,17240 STATE HWY 154,HARLETON,75651-0400,4.0,36.0,29.0,20.0
102906101,ELYSIAN FIELDS,ELYSIAN FIELDS,5,INDEPENDENT,565 FM 451,ELYSIAN FIELDS,75642-0120,2.0,69.0,48.0,31.0
103901001,CHANNING ISD,CHANNING SCHOOL,5,INDEPENDENT,900 GREENWOOD AVE,CHANNING,79018-0107,0.0,14.0,6.0,4.0
103902001,HARTLEY ISD,HARTLEY SCHOOL,5,INDEPENDENT,901 JOHNSON,HARTLEY,79044,0.0,21.0,18.0,10.0
104901101,HASKELL CISD,HASKELL ELEM.,5,INDEPENDENT,306 S AVE G,HASKELL,79521-6599,2.0,41.0,33.0,23.0
104903001,RULE ISD,RULE SCHOOL,5,INDEPENDENT,1100 UNION AVE,RULE,79547-0307,2.0,11.0,6.0,4.0
104907001,PAINT CREEK ISD,PAINT CREEK SCH,5,INDEPENDENT,4485 FM 600,HASKELL,79521-9404,0.0,13.0,6.0,1.0
105802041,TEXAS PREPARATO,TEXAS PREPARATO,5,CHARTER,400 UHLAND RD NO 2,SAN MARCOS,78666,12.0,6.0,4.0,2.0
105802101,TEXAS PREPARATO,TEXAS PREPARATO,5,CHARTER,7540 ED BLUESTEIN BLVD,AUSTIN,78723,15.0,5.0,0.0,0.0
105803001,KI CHARTER ACAD,KI CHARTER ACAD,5,CHARTER,120 BERT BROWN RD,SAN MARCOS,78666,20.0,2.0,0.0,0.0
105902101,SAN MARCOS CISD,BOWIE ELEM.,5,INDEPENDENT,4020 MONTERREY OAKS,SAN MARCOS,78666,19.0,68.0,37.0,26.0
105902102,SAN MARCOS CISD,CROCKETT ELEM.,5,INDEPENDENT,1300 GIRARD ST,SAN MARCOS,78666,14.0,92.0,63.0,44.0
105902103,SAN MARCOS CISD,DEZAVALA ELEM.,5,INDEPENDENT,150 E DEZAVALA DR,SAN MARCOS,78666,24.0,78.0,50.0,29.0
105902105,SAN MARCOS CISD,TRAVIS ELEM.,5,INDEPENDENT,1437 POST RD,SAN MARCOS,78666-1087,31.0,76.0,39.0,23.0
105902107,SAN MARCOS CISD,HERNANDEZ ELEM.,5,INDEPENDENT,333 STAGECOACH TRL,SAN MARCOS,78666-4495,22.0,74.0,39.0,17.0
105902108,SAN MARCOS CISD,MENDEZ ELEM.,5,INDEPENDENT,1805 PETER GARZA,SAN MARCOS,78666,23.0,82.0,45.0,18.0
105904042,DRIPPING SPRING,SYCAMORE SPRING,5,INDEPENDENT,14451 SAWYER RANCH RD,AUSTIN,78737,,,,
105904101,DRIPPING SPRING,DRIPPING SPRING,5,INDEPENDENT,29400 RANCH RD 12,DRIPPING SPRINGS,78620-3735,18.0,106.0,77.0,44.0
105904102,DRIPPING SPRING,WALNUT SPRINGS,5,INDEPENDENT,300 SPORTSPLEX DR,DRIPPING SPRINGS,78620-3858,17.0,127.0,82.0,56.0
105904103,DRIPPING SPRING,ROOSTER SPRINGS,5,INDEPENDENT,1001 BELTERRA DR,AUSTIN,78737,8.0,126.0,101.0,65.0
105904104,DRIPPING SPRING,SYCAMORE SPRING,5,INDEPENDENT,14451 SAWYER RANCH RD,AUSTIN,78737,15.0,115.0,74.0,51.0
105905101,WIMBERLEY ISD,JACOB'S WELL EL,5,INDEPENDENT,3470 RANCH RD 2325,WIMBERLEY,78676,32.0,154.0,92.0,55.0
105906101,HAYS CISD,KYLE ELEM.,5,INDEPENDENT,500 W BLANCO ST,KYLE,78640-9530,31.0,104.0,53.0,34.0
105906103,HAYS CISD,TOM GREEN ELEM.,5,INDEPENDENT,1301 OLD GOFORTH RD,BUDA,78610-9121,37.0,98.0,51.0,24.0
105906106,HAYS CISD,BUDA ELEM.,5,INDEPENDENT,1060 OLD SAN ANTONIO RD,BUDA,78610-9999,20.0,77.0,41.0,24.0
105906107,HAYS CISD,ELM GROVE ELEM.,5,INDEPENDENT,801 FM 1626,BUDA,78610-9789,5.0,132.0,106.0,66.0
105906108,HAYS CISD,SUSIE FUENTES E,5,INDEPENDENT,901 PHILOMENA DR,KYLE,78640-9536,27.0,92.0,50.0,25.0
105906109,HAYS CISD,HEMPHILL ELEM.,5,INDEPENDENT,3995 E FM 150,KYLE,78640-9394,3.0,26.0,17.0,10.0
105906110,HAYS CISD,TOBIAS ELEM.,5,INDEPENDENT,1005 E FM 150,KYLE,78640,32.0,88.0,51.0,32.0
105906111,HAYS CISD,LAURA B. NEGLEY,5,INDEPENDENT,5940 MCNAUGHTON,KYLE,78640,6.0,124.0,101.0,80.0
105906112,HAYS CISD,SCIENCE HALL EL,5,INDEPENDENT,1510 BEBEE RD,KYLE,78640,23.0,79.0,37.0,22.0
105906113,HAYS CISD,BLANCO VISTA EL,5,INDEPENDENT,2951 BLANCO VISTA BLVD,SAN MARCOS,78666,24.0,92.0,56.0,36.0
105906114,HAYS CISD,CAMINO REAL ELE,5,INDEPENDENT,170 LAS BRISAS BLVD,NIEDERWALD,78640,19.0,101.0,52.0,31.0
105906115,HAYS CISD,CARPENTER HILL,5,INDEPENDENT,4410 RR 967,BUDA,78610,8.0,121.0,105.0,85.0
105906116,HAYS CISD,RALPH PFLUGER E,5,INDEPENDENT,4951 MARSH LN,BUDA,78610,20.0,138.0,103.0,64.0
105906118,HAYS CISD,UHLAND ELEM.,5,INDEPENDENT,2331 HIGH RD,KYLE,78640,31.0,92.0,48.0,24.0
106901101,CANADIAN ISD,BAKER ELEM.,5,INDEPENDENT,723 CHEYENNE,CANADIAN,79014-3233,1.0,69.0,44.0,23.0
107901102,ATHENS ISD,SOUTH ATHENS EL,5,INDEPENDENT,718 ROBBINS RD,ATHENS,75751-2928,4.0,61.0,43.0,31.0
107901103,ATHENS ISD,CENTRAL ATHENS,5,INDEPENDENT,307 MADOLE ST,ATHENS,75751-2853,19.0,53.0,31.0,20.0
107901104,ATHENS ISD,BEL AIR ELEM.,5,INDEPENDENT,215 WILLOWBROOK DR,ATHENS,75751-3537,11.0,57.0,26.0,17.0
107902102,BROWNSBORO ISD,CHANDLER INTERM,5,INDEPENDENT,22250 BARRON RD,CHANDLER,75758,14.0,81.0,48.0,30.0
